center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree
IND431717AAA,1,1,2,2,2,4
IND413531AAA,1,1,2,4,4,8
IND413709AAA,4,3,7,14,17,31
IND423109AAA,3,3,6,16,14,30
IND423601AAA,3,2,5,14,15,29
IND423701AAB,3,1,4,16,18,34
IND414203AAB,1,1,2,1,1,2
IND414302AAB,2,2,4,2,3,5
IND414502AAA,1,1,2,7,7,14
IND431107AAB,1,1,2,7,6,13
IND415003AAA,1,2,3,8,9,17
IND415124AAA,1,1,2,13,16,29
IND415605AAA,1,1,2,16,16,32
IND415408AAC,1,1,2,8,9,17
IND415409AAB,1,1,2,4,13,17
IND415709AAA,1,2,3,16,6,22
IND415612AAA,1,1,2,10,8,18
IND416122AAA,1,1,2,1,1,2
IND591237AAB,1,1,2,10,4,14
IND416404AAA,2,1,3,9,6,15
IND416602AAC,1,1,2,6,7,13
IND416606AAA,1,1,2,14,10,24
IND421301AAA,1,1,2,17,15,32
IND421302AAF,1,1,2,1,12,13
IND400078AAB,1,0,1,1,0,1
IND421401AAC,1,1,2,10,11,21
IND422011AAD,2,4,6,39,35,74
IND444005AAB,3,3,6,46,26,72
IND421302AAN,0,1,1,0,16,16
IND421004AAA,1,0,1,27,0,27
IND421601AAB,1,1,2,11,14,25
IND421502AAA,0,1,1,0,17,17
IND422103AAC,1,2,3,11,11,22
IND422605AAA,1,2,3,10,10,20
IND423105AAA,2,2,4,9,8,17
IND423106AAA,2,1,3,6,8,14
IND423301AAB,1,0,1,7,0,7
IND424006AAA,6,9,15,27,38,65
IND424101AAA,1,1,2,8,1,9
IND424304AAC,3,2,5,10,11,21
IND425401AAA,1,1,2,1,1,2
IND425405AAA,2,2,4,7,15,22
IND425412AAA,4,4,8,15,14,29
IND452001AAC,2,2,4,14,11,25
IND431103AAA,1,0,1,1,0,1
IND424201AAA,1,1,2,1,1,2
IND425109AAA,1,1,2,1,1,2
IND425201AAA,1,1,2,9,9,18
IND425508AAB,2,1,3,11,16,27
IND425409AAA,3,4,7,12,12,24
IND425406AAA,2,3,5,11,7,18
IND450331AAA,1,1,2,16,13,29
IND431001AAB,0,1,1,0,18,18
IND431112AAB,2,1,3,11,11,22
IND431122AAA,1,1,2,9,7,16
IND431127AAA,1,1,2,7,7,14
IND431131AAB,0,1,1,0,1,1
IND431001AAA,1,0,1,20,0,20
IND431203AAA,1,2,3,15,12,27
IND431514AAA,1,1,2,16,16,32
IND431515AAA,1,1,2,16,14,30
IND431517AAB,1,1,2,14,12,26
IND431401AAA,1,0,1,1,0,1
IND431708AAA,1,1,2,15,16,31
IND441206AAB,0,2,2,0,8,8
IND441603AAA,2,1,3,4,1,5
IND442605AAA,2,1,3,8,3,11
IND441614AAA,0,1,1,0,9,9
IND481001AAA,1,0,1,9,0,9
IND441904AAB,0,1,1,0,12,12
IND441912AAA,1,1,2,12,11,23
IND441107AAB,1,0,1,11,0,11
IND442001AAA,0,1,1,0,5,5
IND442101AAB,1,1,2,5,12,17
IND445001AAB,1,0,1,12,0,12
IND443201AAA,1,1,2,2,1,3
IND443301AAA,1,1,2,5,2,7
IND444602AAA,0,1,1,0,21,21
IND445101AAA,0,1,1,0,1,1
IND440014AAA,1,0,1,1,0,1
IND451666AAA,0,2,2,0,10,10
IND454001AAA,0,1,1,0,17,17
IND457001AAA,1,2,3,17,19,36
IND457226AAA,1,1,2,16,16,32
IND458990AAA,1,1,2,11,10,21
IND460001AAA,1,1,2,20,21,41
IND480334AAA,1,1,2,21,21,42
IND461001AAA,1,1,2,5,1,6
IND461111AAA,1,1,2,1,20,21
IND462001AAA,2,1,3,4,28,32
IND462011AAA,1,1,2,30,11,41
IND462021AAA,0,1,1,0,1,1
IND462042AAA,1,1,2,2,17,19
IND465669AAB,1,1,2,10,11,21
IND466001AAA,1,1,2,14,15,29
IND842003AAB,5,8,13,25,37,62
IND464001AAA,0,1,1,0,1,1
IND464221AAA,1,1,2,1,1,2
IND470004AAA,1,4,5,1,6,7
IND464668AAA,1,1,2,7,2,9
IND465001AAA,1,3,4,13,9,22
IND465333A1B,1,2,3,2,2,4
IND465333AAA,2,1,3,4,3,7
IND465683AAA,1,1,2,11,13,24
IND466116AAA,1,1,2,15,13,28
IND470113AAA,2,2,4,9,3,12
IND470117AAA,2,1,3,3,6,9
IND473443AAA,1,1,2,2,7,9
IND470227AAB,2,0,2,7,0,7
IND471001AAA,2,1,3,12,9,21
IND473001AAA,1,1,2,10,11,21
IND473331AAA,1,1,2,11,17,28
IND473226AAA,1,2,3,17,20,37
IND473551AAA,1,0,1,1,0,1
IND475661AAB,1,0,1,1,0,1
IND476001AAA,1,1,2,3,1,4
IND476111AAA,2,2,4,9,8,17
IND477001AAA,1,1,2,6,1,7
IND477001AAB,1,1,2,2,11,13
IND480001AAA,2,2,4,8,12,20
IND480661AAA,3,2,5,14,8,22
IND481661AAA,2,1,3,8,9,17
IND480106AAA,1,0,1,21,0,21
IND480886AAA,1,2,3,8,8,16
IND482002AAA,1,1,2,4,3,7
IND483225AAA,1,1,2,3,3,6
IND483501AAA,2,1,3,14,3,17
IND483770AAA,1,1,2,3,2,5
IND484001AAA,2,2,4,3,7,10
IND484224AAA,1,1,2,3,1,4
IND484446AAA,2,1,3,5,3,8
IND484551AAA,1,1,2,1,1,2
IND484661AAE,1,2,3,2,3,5
IND485771AAA,1,2,3,3,2,5
IND486001AAA,2,1,3,3,2,5
IND486771AAA,3,1,4,8,6,14
IND488001AAA,1,1,2,3,4,7
IND486661AAA,1,1,2,6,5,11
IND486889AAA,1,2,3,7,7,14
IND487001AAA,1,1,2,2,4,6
IND487551AAA,2,1,3,8,7,15
IND487001AAB,1,1,2,5,4,9
IND491001AAA,0,1,1,0,1,1
IND494334AAB,1,1,2,1,11,12
IND492001AAB,0,1,1,0,8,8
IND492007AAA,1,0,1,8,0,8
IND493118AAC,0,1,1,0,11,11
IND495334AAB,1,1,2,11,12,23
IND493445AAB,1,1,2,11,1,12
IND490023AAA,1,0,1,1,0,1
IND495004AAA,0,1,1,0,1,1
IND495671AAA,1,0,1,1,0,1
IND491995AAB,1,0,1,12,0,12
IND495677AAA,0,1,1,0,7,7
IND496001AAA,1,0,1,7,0,7
IND500008AAC,1,2,3,19,14,33
IND500084AAB,1,0,1,1,0,1
IND500008AAD,0,1,1,0,6,6
IND500008AAF,0,1,1,0,19,19
IND500039AAC,5,4,9,46,38,84
IND500010AAA,3,3,6,27,11,38
IND500055AAA,1,2,3,1,2,3
IND501401AAC,3,1,4,19,14,33
IND500010AAB,1,1,2,33,39,72
IND500018AAA,0,1,1,0,4,4
IND500080AAB,2,1,3,28,20,48
IND500032AAA,0,1,1,0,4,4
IND502295AAA,1,1,2,4,2,6
IND500035AAA,1,1,2,2,1,3
IND500039AAB,0,1,1,0,2,2
IND501301AAC,1,1,2,2,2,4
IND500035AAD,1,0,1,8,0,8
IND508116AAA,1,2,3,13,15,28
IND500039AAD,1,1,2,6,8,14
IND500050AAA,2,2,4,20,26,46
IND501218AAC,2,0,2,6,0,6
IND500055AAC,0,1,1,0,17,17
IND501101AAB,1,2,3,5,6,11
IND509216AAC,2,1,3,10,12,22
IND501141AAA,1,1,2,8,5,13
IND503111AAC,3,3,6,10,34,44
IND505001AAB,11,8,19,47,30,77
IND506002AAA,3,3,6,48,39,87
IND508252AAB,1,1,2,7,6,13
IND509001AAA,1,1,2,17,19,36
IND509358AAA,1,2,3,17,17,34
IND515004AAA,6,6,12,58,59,117
IND518002AAA,10,8,18,66,74,140
IND523002AAA,4,5,9,35,39,74
IND533106AAA,8,8,16,50,51,101
IND585104AAA,5,5,10,61,60,121
IND501359AAG,0,1,1,0,11,11
IND502110AAA,1,1,2,19,19,38
IND502313AAA,1,1,2,19,6,25
IND502220AAC,1,1,2,22,22,44
IND502286AAB,1,1,2,22,22,44
IND503185AAA,1,1,2,20,19,39
IND503122AAA,1,1,2,20,19,39
IND503187AAA,1,1,2,19,20,39
IND504201AAA,1,2,3,5,6,11
IND505184AAC,2,2,4,8,11,19
IND504208AAB,3,2,5,14,7,21
IND504251AAA,2,2,4,2,5,7
IND504215AAA,1,2,3,1,16,17
IND505326AAB,2,3,5,5,3,8
IND504293AAA,2,2,4,4,9,13
IND504296AAA,1,3,4,3,4,7
IND505001AAA,0,2,2,0,10,10
IND505302AAB,2,3,5,13,10,23
IND505327AAA,4,1,5,9,12,21
IND505172AAA,1,0,1,1,0,1
IND505209AAA,2,2,4,9,8,17
IND505122AAA,2,1,3,15,16,31
IND505325AAA,1,1,2,5,6,11
IND505326AAA,0,1,1,0,1,1
IND505425AAA,3,2,5,14,2,16
IND505467AAA,1,1,2,13,13,26
IND505503AAA,1,1,2,1,1,2
IND506164AAA,1,0,1,1,0,1
IND506001AAC,0,2,2,0,15,15
IND506132AAA,1,1,2,20,19,39
IND506143AAA,1,1,2,17,16,33
IND506343AAA,1,1,2,2,2,4
IND506167AAB,1,1,2,16,16,32
IND506169AAB,1,1,2,2,1,3
IND506314AAA,1,1,2,12,16,28
IND507002AAA,5,7,12,49,42,91
IND507117AAB,2,1,3,20,18,38
IND507159AAA,2,2,4,15,15,30
IND507167AAA,1,0,1,9,0,9
IND508001AAA,2,1,3,15,14,29
IND508206AAA,3,3,6,18,18,36
IND508207AAB,3,3,6,12,16,28
IND508213AAB,1,1,2,14,14,28
IND507111AAA,0,2,2,0,20,20
IND507303AAA,2,1,3,19,18,37
IND508223AAA,2,1,3,12,14,26
IND508277AAB,1,1,2,14,11,25
IND508248AAB,2,1,3,16,15,31
IND508377AAB,1,1,2,15,12,27
IND509203AAA,1,1,2,19,19,38
IND509103AAB,2,2,4,11,10,21
IND509103AAC,2,1,3,5,6,11
IND509124AAA,2,4,6,17,16,33
IND584101AAA,2,3,5,16,17,33
IND509301AAA,1,2,3,19,19,38
IND509324AAA,1,1,2,9,8,17
IND515401AAB,1,1,2,17,18,35
IND515411AAA,1,1,2,2,2,4
IND515671AAA,1,2,3,13,14,27
IND515801AAA,2,2,4,20,19,39
IND515134AAA,3,2,5,32,23,55
IND515201AAA,1,2,3,15,19,34
IND515591AAA,2,1,3,9,10,19
IND515301AAA,1,1,2,14,16,30
IND561202AAB,1,1,2,16,14,30
IND516360AAB,1,1,2,2,2,4
IND516269AAA,1,1,2,10,15,25
IND515761AAA,2,1,3,19,19,38
IND515865AAB,1,1,2,18,18,36
IND516001AAA,1,1,2,2,2,4
IND516227AAA,1,1,2,2,2,4
IND516101AAA,1,1,2,19,18,37
IND516115AAA,1,1,2,18,17,35
IND517501AAB,2,2,4,33,35,68
IND516390AAA,1,1,2,15,15,30
IND517325AAA,0,1,1,0,1,1
IND517408AAA,1,0,1,1,0,1
IND517583AAA,1,1,2,19,19,38
IND517644AAA,1,1,2,16,15,31
IND524132AAA,1,1,2,15,14,29
IND518206AAA,2,2,4,7,5,12
IND518401AAA,1,1,2,13,12,25
IND518501AAA,1,1,2,18,15,33
IND518102AAA,1,1,2,14,14,28
IND518124AAA,1,2,3,15,7,22
IND518222AAA,1,1,2,4,5,9
IND518422AAB,1,1,2,12,14,26
IND520011AAA,1,1,2,1,8,9
IND521185AAA,2,2,4,9,8,17
IND521001AAA,2,2,4,20,8,28
IND521165AAA,2,1,3,4,3,7
IND521105AAA,1,2,3,3,8,11
IND521333AAA,2,1,3,18,14,32
IND534001AAA,1,2,3,4,15,19
IND521201AAA,1,1,2,21,3,24
IND521301AAA,1,1,2,19,19,38
IND522647AAA,1,1,2,14,19,33
IND523201AAA,1,1,2,19,2,21
IND523105AAA,2,1,3,20,19,39
IND523226AAA,1,1,2,5,13,18
IND523230AAA,1,1,2,21,19,40
IND523316AAB,2,1,3,14,14,28
IND524201AAA,1,1,2,19,18,37
IND524003AAA,1,1,2,14,14,28
IND524101AAB,1,1,2,14,16,30
IND530012AAA,10,11,21,67,71,138
IND530043AAA,1,2,3,13,13,26
IND531001AAA,2,2,4,6,6,12
IND531036AAA,2,1,3,5,4,9
IND531162AAA,2,0,2,8,0,8
IND532001AAB,5,4,9,55,64,119
IND535001AAA,2,1,3,15,10,25
IND764001AAC,2,1,3,4,7,11
IND764020AAC,1,1,2,1,1,2
IND530012AAC,0,2,2,0,5,5
IND530018AAA,0,1,1,0,1,1
IND530026AAA,0,1,1,0,4,4
IND531163AAA,1,1,2,12,13,25
IND531116AAA,1,2,3,5,5,10
IND532127AAA,1,1,2,21,21,42
IND532201AAA,2,2,4,20,21,41
IND532421AAA,1,1,2,20,19,39
IND535591AAA,1,1,2,21,3,24
IND532222AAA,1,2,3,20,12,32
IND761200AAA,2,1,3,12,12,24
IND532440AAA,1,1,2,17,17,34
IND533003AAA,2,2,4,17,21,38
IND533401AAA,1,2,3,18,18,36
IND533201AAA,3,2,5,8,11,19
IND533242AAA,2,1,3,6,2,8
IND533262AAA,2,2,4,15,12,27
IND533308AAB,2,2,4,15,16,31
IND534260AAC,1,1,2,5,4,9
IND535501AAB,1,2,3,20,18,38
IND535558AAA,1,1,2,3,20,23
IND560002AAA,3,2,5,70,40,110
IND560099AAB,11,18,29,354,466,820
IND560027AAA,0,1,1,0,4,4
IND560099AAA,1,0,1,4,0,4
IND560043AAC,4,3,7,133,79,212
IND560064AAA,1,0,1,39,0,39
IND560048AAB,4,2,6,65,43,108
IND560058AAB,3,3,6,95,80,175
IND560060AAB,3,2,5,99,34,133
IND560058AAD,3,1,4,60,36,96
IND560064AAD,0,1,1,0,41,41
IND560067AAC,1,1,2,8,20,28
IND562114AAA,1,2,3,20,17,37
IND560077AAA,1,1,2,1,1,2
IND560078AAC,3,2,5,69,36,105
IND560083AAB,2,2,4,51,32,83
IND560085AAA,3,1,4,53,7,60
IND000000ACS,4,0,4,9,0,9
IND560300AAA,4,12,16,278,331,609
IND632006AAA,4,5,9,35,44,79
IND635001AAA,2,2,4,8,8,16
IND683511AAB,1,0,1,1,0,1
IND560099AAG,0,1,1,0,2,2
IND560099AAH,0,1,1,0,1,1
IND562125AAA,1,1,2,1,1,2
IND563101AAB,2,3,5,19,16,35
IND563130AAA,2,1,3,10,10,20
IND563131AAB,3,3,6,25,24,49
IND560300AAB,3,4,7,18,24,42
IND563116AAA,2,1,3,17,14,31
IND563125AAB,3,2,5,16,15,31
IND561203AAB,1,1,2,12,12,24
IND562101AAA,2,1,3,13,13,26
IND561207AAB,1,2,3,13,13,26
IND562108AAA,1,1,2,12,2,14
IND572101AAA,3,2,5,6,13,19
IND562117AAA,1,1,2,11,10,21
IND560066AAB,1,0,1,2,0,2
IND570020AAA,4,3,7,29,24,53
IND573201AAB,4,5,9,49,45,94
IND577002AAA,4,3,7,29,31,60
IND577501AAA,2,1,3,12,10,22
IND577598AAC,1,1,2,10,11,21
IND583101AAA,3,2,5,21,28,49
IND562132AAC,0,1,1,0,1,1
IND562159AAA,0,1,1,0,11,11
IND563131AAA,1,1,2,14,14,28
IND571301AAA,1,1,2,9,8,17
IND571430AAA,2,1,3,11,10,21
IND571602AAA,1,0,1,14,0,14
IND571104AAA,1,2,3,15,17,32
IND573142AAA,3,1,4,19,17,36
IND577598AAB,1,1,2,16,17,33
IND571105AAA,0,2,2,0,13,13
IND571114AAA,2,1,3,9,8,17
IND571213AAA,1,2,3,12,9,21
IND571111AAB,1,1,2,8,10,18
IND571313AAB,1,1,2,10,10,20
IND571124AAA,1,1,2,10,11,21
IND571440AAA,1,1,2,10,10,20
IND571401AAA,1,1,2,9,10,19
IND562160AAB,1,0,1,10,0,10
IND571426AAA,2,1,3,18,15,33
IND571432AAB,1,1,2,12,17,29
IND571438AAB,0,1,1,0,9,9
IND572201AAB,2,4,6,13,7,20
IND573103AAA,2,2,4,6,7,13
IND577101AAA,3,2,5,10,9,19
IND577116AAA,3,1,4,8,8,16
IND573116AAA,1,3,4,14,14,28
IND573134AAB,2,2,4,14,15,29
IND574104AAA,1,1,2,9,11,20
IND574216AAA,2,2,4,12,6,18
IND574117AAA,1,2,3,5,3,8
IND576101AAA,2,1,3,3,3,6
IND576201AAA,2,1,3,4,4,8
IND574202AAA,1,1,2,5,6,11
IND574239AAA,1,1,2,6,7,13
IND574211AAA,1,2,3,8,6,14
IND574221AAA,1,1,2,7,6,13
IND574227AAA,1,1,2,2,9,11
IND575014AAA,1,1,2,2,1,3
IND671323AAD,1,1,2,3,1,4
IND581320AAA,2,2,4,5,5,10
IND581110AAE,2,2,4,21,20,41
IND581115AAC,1,1,2,19,20,39
IND577132AAD,1,1,2,7,11,18
IND577126AAA,1,1,2,1,1,2
IND577201AAA,3,2,5,9,11,20
IND577432AAA,1,1,2,1,1,2
IND577401AAA,1,2,3,9,8,17
IND577522AAA,1,1,2,10,10,20
IND577535AAC,1,1,2,10,10,20
IND580002AAA,2,1,3,11,2,13
IND581402AAA,1,2,3,15,10,25
IND590016AAA,2,1,3,17,5,22
IND591115AAB,2,2,4,6,6,12
IND591123AAC,1,1,2,18,19,37
IND581119AAB,1,1,2,16,14,30
IND581325AAA,2,1,3,14,14,28
IND581334AAA,2,3,5,5,6,11
IND581343AAC,1,1,2,2,6,8
IND582101AAB,2,1,3,18,18,36
IND582209AAA,1,1,2,17,16,33
IND583201AAA,3,3,6,34,27,61
IND583119AAA,1,1,2,9,9,18
IND583227AAA,1,2,3,16,16,32
IND583231AAA,1,1,2,15,15,30
IND584123AAA,1,1,2,2,1,3
IND584128AAA,1,1,2,1,2,3
IND583121AAA,1,0,1,2,0,2
IND585211AAA,2,2,4,21,20,41
IND585307AAB,2,2,4,22,21,43
IND585314AAA,2,2,4,20,19,39
IND585330AAE,1,1,2,20,21,41
IND586128AAA,2,2,4,18,19,37
IND585222AAA,2,2,4,21,22,43
IND586211AAA,2,2,4,18,19,37
IND585401AAA,1,1,2,21,22,43
IND586101AAA,1,1,2,8,4,12
IND586101AAB,2,1,3,5,5,10
IND587103AAB,1,2,3,19,19,38
IND591302AAB,1,2,3,5,10,15
IND591102AAA,1,1,2,2,18,20
IND591307AAC,1,3,4,18,7,25
IND591126AAA,0,1,1,0,2,2
IND591201AAA,1,2,3,4,11,15
IND591304AAA,1,2,3,10,12,22
IND580030AAA,1,0,1,1,0,1
IND600004AAA,1,1,2,1,3,4
IND600008AAC,3,3,6,36,18,54
IND600008AAA,0,1,1,0,14,14
IND600013AAA,1,0,1,2,0,2
IND600016AAA,0,1,1,0,8,8
IND600119AAA,2,1,3,19,10,29
IND600016AAB,0,1,1,0,22,22
IND600016AAC,2,2,4,23,12,35
IND600032AAB,3,4,7,75,123,198
IND600044AAD,5,5,10,51,52,103
IND600076AAB,2,2,4,58,18,76
IND600048AAA,2,1,3,15,1,16
IND603001AAA,1,1,2,12,13,25
IND603203AAA,2,2,4,3,14,17
IND600044AAE,1,1,2,34,29,63
IND600056AAA,1,1,2,3,7,10
IND602105AAB,1,0,1,7,0,7
IND600110AAA,1,2,3,28,11,39
IND600116AAB,4,3,7,31,16,47
IND605010AAB,2,3,5,23,19,42
IND605601AAA,3,3,6,26,26,52
IND631501AAA,1,2,3,9,11,20
IND635802AAB,4,2,6,17,16,33
IND600073AAA,0,1,1,0,1,1
IND600083AAA,0,1,1,0,2,2
IND600056AAD,1,0,1,1,0,1
IND602024AAA,1,2,3,10,13,23
IND602001AAA,1,1,2,9,3,12
IND602001AAB,0,1,1,0,11,11
IND609001AAA,1,1,2,11,12,23
IND603301AAA,1,1,2,13,14,27
IND603102AAA,1,1,2,4,12,16
IND604303AAA,1,1,2,4,4,8
IND607001AAA,1,1,2,12,11,23
IND607106AAA,1,1,2,14,14,28
IND636102AAA,1,1,2,6,5,11
IND606003AAA,1,1,2,15,14,29
IND606105AAA,1,1,2,14,14,28
IND606201AAC,1,1,2,14,15,29
IND606801AAB,1,1,2,13,13,26
IND606803AAA,1,1,2,11,13,24
IND608001AAA,1,1,2,11,7,18
IND607801AAA,1,1,2,14,15,29
IND609110AAA,1,1,2,7,8,15
IND608301AAA,1,1,2,10,16,26
IND639104AAB,1,1,2,16,1,17
IND614018AAA,1,1,2,12,10,22
IND609602AAA,1,1,2,8,11,19
IND611001AAA,1,1,2,11,10,21
IND610001AAA,2,2,4,27,27,54
IND614715AAA,1,1,2,17,17,34
IND613104AAA,1,0,1,10,0,10
IND614602AAA,0,1,1,0,16,16
IND614804AAA,1,1,2,16,16,32
IND614616AAA,1,1,2,16,16,32
IND630002AAA,1,1,2,16,14,30
IND614620AAA,1,1,2,15,16,31
IND630561AAA,1,2,3,16,20,36
IND614809AAA,1,1,2,17,17,34
IND620020AAA,0,1,1,0,25,25
IND621112AAA,1,1,2,25,1,26
IND621010AAA,1,1,2,15,16,31
IND621212AAA,2,1,3,18,16,34
IND620012AAA,2,0,2,2,0,2
IND621211AAA,0,1,1,0,15,15
IND621704AAA,1,1,2,16,17,33
IND621306AAA,0,1,1,0,12,12
IND625106AAA,1,1,2,12,13,25
IND621802AAA,1,2,3,17,12,29
IND622407AAA,1,1,2,14,14,28
IND622001AAA,1,0,1,14,0,14
IND623315AAB,1,1,2,15,15,30
IND623407AAA,1,1,2,15,15,30
IND623503AAA,1,1,2,7,7,14
IND623526AAA,1,1,2,7,8,15
IND623704AAA,1,1,2,8,7,15
IND623701AAA,1,1,2,5,7,12
IND626607AAB,1,1,2,7,7,14
IND624001AAA,2,3,5,11,22,33
IND624619AAA,2,1,3,12,10,22
IND624703AAA,2,1,3,3,1,4
IND625008AAA,5,3,8,54,19,73
IND624101AAA,1,1,2,15,10,25
IND624202AAA,1,1,2,10,11,21
IND625218AAA,1,1,2,11,1,12
IND624601AAA,1,2,3,10,17,27
IND625516AAA,2,1,3,8,7,15
IND626123AAA,1,1,2,17,17,34
IND685514AAA,3,1,4,9,9,18
IND625531AAA,1,1,2,6,7,13
IND625532AAA,0,2,2,0,7,7
IND626117AAA,1,1,2,17,9,26
IND626138AAA,1,1,2,9,16,25
IND627756AAA,1,1,2,17,17,34
IND627005AAA,3,4,7,38,39,77
IND627117AAA,1,1,2,11,11,22
IND627811AAA,1,1,2,10,10,20
IND628801AAA,1,1,2,17,17,34
IND629001AAA,2,0,2,12,0,12
IND627401AAA,1,1,2,10,13,23
IND627657AAA,1,1,2,17,16,33
IND628613AAA,1,1,2,16,14,30
IND628204AAA,1,1,2,17,17,34
IND629179AAA,0,1,1,0,11,11
IND631003AAA,1,1,2,10,10,20
IND631102AAA,1,1,2,11,12,23
IND632301AAA,1,2,3,14,12,26
IND632402AAA,1,1,2,8,11,19
IND636705AAB,2,2,4,9,9,18
IND635207AAA,1,1,2,1,1,2
IND635601AAB,1,2,3,10,11,21
IND636005AAA,0,2,2,0,5,5
IND636005AAC,1,0,1,1,0,1
IND636016AAA,1,2,3,4,16,20
IND636402AAA,2,0,2,17,0,17
IND637211AAA,1,1,2,15,16,31
IND636352AAA,0,1,1,0,5,5
IND637301AAA,0,1,1,0,10,10
IND638001AAA,1,1,2,10,3,13
IND637408AAA,0,1,1,0,10,10
IND637001AAA,1,0,1,10,0,10
IND638052AAA,1,0,1,3,0,3
IND638401AAA,1,1,2,12,12,24
IND638452AAA,1,1,2,12,3,15
IND638501AAB,1,1,2,3,14,17
IND641062AAD,7,8,15,71,64,135
IND638657AAA,1,1,2,15,16,31
IND638701AAA,1,1,2,16,17,33
IND641607AAA,2,3,5,29,35,64
IND639001AAA,0,1,1,0,9,9
IND641001AAA,2,1,3,6,3,9
IND641006AAD,0,1,1,0,5,5
IND641008AAA,1,2,3,2,4,6
IND641011AAA,1,1,2,1,9,10
IND642001AAA,2,2,4,18,18,36
IND642126AAA,2,1,3,18,17,35
IND643217AAA,2,1,3,13,10,23
IND643231AAA,1,1,2,15,11,26
IND641654AAA,1,1,2,11,11,22
IND641664AAA,2,1,3,15,15,30
IND643001AAA,1,1,2,10,6,16
IND643212AAA,1,1,2,6,3,9
IND670643AAA,1,1,2,17,5,22
IND670645AAB,2,1,3,9,6,15
IND673592AAA,2,3,5,18,24,42
IND671315AAA,0,1,1,0,2,2
IND000000ACO,1,0,1,1,0,1
IND673104AAA,3,1,4,16,17,33
IND673305AAA,2,1,3,6,14,20
IND673506AAA,1,1,2,17,17,34
IND673121AAA,1,1,2,11,8,19
IND673573AAA,0,1,1,0,12,12
IND676306AAA,1,1,2,4,7,11
IND676509AAA,1,2,3,7,4,11
IND678583AAA,1,0,1,1,0,1
IND679322AAA,1,1,2,3,1,4
IND678683AAA,1,1,2,14,13,27
IND679303AAA,1,1,2,11,14,25
IND679531AAA,1,1,2,14,15,29
IND673639AAA,2,0,2,4,0,4
IND679329AAA,0,1,1,0,3,3
IND680587AAA,1,2,3,15,14,29
IND680012AAA,1,1,2,11,11,22
IND68004AAA,2,2,4,23,24,47
IND680104AAA,1,1,2,16,17,33
IND679576AAA,1,0,1,17,0,17
IND680307AAA,1,2,3,13,12,25
IND680712AAA,1,1,2,7,9,16
IND686028AAB,3,2,5,25,17,42
IND683572AAA,0,1,1,0,13,13
IND686632AAA,1,1,2,1,1,2
IND689101AAA,1,2,3,16,10,26
IND686507AAA,1,2,3,1,16,17
IND686513AAA,1,2,3,15,9,24
IND686540AAA,2,1,3,9,2,11
IND686141AAA,1,0,1,1,0,1
IND688009AAA,1,1,2,15,16,31
IND688524AAA,0,1,1,0,7,7
IND689650AAA,1,1,2,6,3,9
IND690548AAA,2,1,3,7,15,22
IND689503AAB,1,1,2,1,1,2
IND689645AAA,1,1,2,15,15,30
IND691551AAA,2,1,3,16,20,36
IND690537AAA,0,1,1,0,1,1
IND691001AAB,2,4,6,32,32,64
IND690573AAA,1,0,1,1,0,1
IND691506AAA,1,1,2,21,20,41
IND695012AAA,5,2,7,9,14,23
IND691305AAA,1,2,3,20,16,36
IND691574AAA,2,1,3,21,21,42
IND695614AAA,1,1,2,21,3,24
IND695101AAB,2,2,4,21,21,42
IND695012AAB,0,1,1,0,3,3
IND695541AAA,2,2,4,14,2,16
IND695582AAA,0,2,2,0,20,20
IND695609AAA,1,1,2,3,3,6
IND700026AAC,2,2,4,31,6,37
IND700065AAA,2,2,4,31,26,57
IND700053AAA,3,4,7,25,16,41
IND700136AAB,1,1,2,1,1,2
IND700144AAA,1,1,2,5,4,9
IND743513AAA,1,1,2,4,12,16
IND700065AAB,0,1,1,0,15,15
IND712310AAA,2,0,2,38,0,38
IND700088AAA,1,1,2,30,9,39
IND700136AAG,0,1,1,0,23,23
IND743395AAA,1,1,2,4,4,8
IND711303AAA,1,1,2,18,17,35
IND721134AAB,1,2,3,17,17,34
IND712103AAA,2,2,4,26,24,50
IND712124AAA,2,2,4,31,28,59
IND712310AAE,5,4,9,38,50,88
IND711409AAA,1,0,1,1,0,1
IND712410AAC,1,1,2,9,6,15
IND713103AAA,1,1,2,6,4,10
IND713145AAB,1,2,3,3,3,6
IND713205AAB,7,11,18,59,45,104
IND721306AAA,4,4,8,28,21,49
IND732103AAB,4,3,7,9,15,24
IND742101AAC,6,6,12,34,26,60
IND742102AAB,5,5,10,53,41,94
IND743235AAA,1,1,2,5,6,11
IND826004AAA,7,9,16,63,37,100
IND712406AAA,1,2,3,6,4,10
IND712602AAA,2,2,4,4,3,7
IND712612AAA,1,1,2,1,3,4
IND722154AAA,2,2,4,5,2,7
IND713128AAB,1,2,3,17,16,33
IND731204AAB,1,1,2,13,13,26
IND731301AAA,2,1,3,16,19,35
IND713130AAA,2,2,4,16,18,34
IND741123AAB,2,1,3,18,18,36
IND741126AAB,2,1,3,19,20,39
IND741101AAB,1,1,2,1,1,2
IND741316AAA,1,0,1,2,0,2
IND713148AAA,1,1,2,3,17,20
IND713303AAA,1,1,2,5,6,11
IND722101AAA,1,1,2,2,8,10
IND722101AAB,1,1,2,1,1,2
IND722101AAC,2,0,2,9,0,9
IND722122AAA,2,1,3,9,8,17
IND722143AAB,1,1,2,9,10,19
